OG	tree	reconciliation_map	flipped_nodes
499	((noD_5_3_6_0|G0_0[node_id=1;species=H0],noD_5_3_6_0|G13_7[node_id=0;species=H7])S[node_id=13],((noD_5_3_6_0|G9_4[node_id=3;species=H4],(noD_5_3_6_0|G7_2[node_id=2;species=H2],noD_5_3_6_0|G6_1[node_id=4;species=H1])S[node_id=5])S[node_id=6],(noD_5_3_6_0|G4_4[node_id=9;species=H4],(noD_5_3_6_0|G2_2[node_id=8;species=H2],noD_5_3_6_0|G1_1[node_id=7;species=H1])S[node_id=10])S[node_id=11])D[node_id=12])S[node_id=14];	0:4,1:3,2:8,3:6,4:9,5:7,6:5,7:9,8:8,9:6,10:7,11:5,12:5,13:2,14:1	
500	((noD_5_6_7_0|G0_0[node_id=13;species=H0],noD_5_6_7_0|G13_7[node_id=14;species=H7])S[node_id=15],(((noD_5_6_7_0|G2_2[node_id=0;species=H2],noD_5_6_7_0|G1_1[node_id=1;species=H1])S[node_id=2],X[node_id=12])S[node_id=11],((noD_5_6_7_0|G8_4[node_id=4;species=H4],noD_5_6_7_0|G7_4[node_id=5;species=H4])D[node_id=6],(noD_5_6_7_0|G5_2[node_id=7;species=H2],noD_5_6_7_0|G4_1[node_id=3;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=16];	0:8,1:9,2:7,3:9,4:6,5:6,6:6,7:8,8:7,9:5,10:5,11:5,12:6,13:3,14:4,15:2,16:1	
501	((noD_5_9_9_0|G0_0[node_id=11;species=H0],noD_5_9_9_0|G13_7[node_id=12;species=H7])S[node_id=13],((noD_5_9_9_0|G4_4[node_id=1;species=H4],(noD_5_9_9_0|G2_2[node_id=0;species=H2],noD_5_9_9_0|G1_1[node_id=2;species=H1])S[node_id=3])S[node_id=4],(noD_5_9_9_0|G9_4[node_id=6;species=H4],(noD_5_9_9_0|G7_2[node_id=5;species=H2],noD_5_9_9_0|G6_1[node_id=7;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=14];	0:8,1:6,2:9,3:7,4:5,5:8,6:6,7:9,8:7,9:5,10:5,11:3,12:4,13:2,14:1	
502	(((noD_5_9_1_3|G0_0[node_id=2;species=H0],noD_5_9_1_3|G1_0[node_id=3;species=H0])D[node_id=4],(noD_5_9_1_3|G9_7[node_id=5;species=H7],noD_5_9_1_3|G10_7[node_id=6;species=H7],noD_5_9_1_3|G12_7[node_id=7;species=H7])D[node_id=8])S[node_id=10],(noD_5_9_1_3|G6_4[node_id=9;species=H4],(noD_5_9_1_3|G4_2[node_id=1;species=H2],noD_5_9_1_3|G3_1[node_id=0;species=H1])S[node_id=11])S[node_id=12])S[node_id=13];	0:9,1:8,2:3,3:3,4:3,5:4,6:4,7:4,8:4,9:6,10:2,11:7,12:5,13:1	
503	(((noD_5_7_6_2|G3_0[node_id=1;species=H0],noD_5_7_6_2|G0_0[node_id=2;species=H0],noD_5_7_6_2|G1_0[node_id=3;species=H0])D[node_id=4],noD_5_7_6_2|G13_7[node_id=8;species=H7])S[node_id=10],((noD_5_7_6_2|G9_4[node_id=5;species=H4],noD_5_7_6_2|G8_4[node_id=6;species=H4])D[node_id=7],(noD_5_7_6_2|G6_2[node_id=9;species=H2],noD_5_7_6_2|G5_1[node_id=0;species=H1])S[node_id=11])S[node_id=12])S[node_id=13];	0:9,1:3,2:3,3:3,4:3,5:6,6:6,7:6,8:4,9:8,10:2,11:7,12:5,13:1	
504	(((noD_5_6_4_1|G1_0[node_id=0;species=H0],noD_5_6_4_1|G0_0[node_id=1;species=H0])D[node_id=2],X[node_id=15])S[node_id=14],((noD_5_6_4_1|G6_4[node_id=3;species=H4],noD_5_6_4_1|G11_4[node_id=4;species=H4])D[node_id=5],((noD_5_6_4_1|G9_2[node_id=6;species=H2],noD_5_6_4_1|G8_1[node_id=7;species=H1])S[node_id=8],(noD_5_6_4_1|G4_2[node_id=10;species=H2],noD_5_6_4_1|G3_1[node_id=9;species=H1])S[node_id=11])D[node_id=12])S[node_id=13])S[node_id=16];	0:3,1:3,2:3,3:6,4:6,5:6,6:8,7:9,8:7,9:9,10:8,11:7,12:7,13:5,14:2,15:4,16:1	
505	(((noD_5_3_6_1|G4_4[node_id=2;species=H4],(noD_5_3_6_1|G2_2[node_id=0;species=H2],noD_5_3_6_1|G1_1[node_id=1;species=H1])S[node_id=3])S[node_id=4],X[node_id=16])S[node_id=15],((noD_5_3_6_1|G0_0[node_id=6;species=H0],noD_5_3_6_1|G7_7[node_id=9;species=H7])S[node_id=10],(noD_5_3_7_2|G3_4[node_id=8;species=H4],(noD_5_3_7_2|G1_2[node_id=7;species=H2],noD_5_3_7_2|G0_1[node_id=5;species=H1])S[node_id=11])S[node_id=12])S[node_id=13])D[node_id=14];	0:8,1:9,2:6,3:7,4:5,5:9,6:3,7:8,8:6,9:4,10:2,11:7,12:5,13:1,14:1,15:1,16:2	
506	(((noD_5_6_3_3|G5_7[node_id=2;species=H7],X[node_id=5])S[node_id=4],(noD_5_6_6_1|G4_4[node_id=1;species=H4],(noD_5_6_6_1|G2_2[node_id=0;species=H2],noD_5_6_6_1|G1_1[node_id=3;species=H1])S[node_id=6])S[node_id=7])S[node_id=8],((noD_5_6_6_1|G0_0[node_id=12;species=H0],X[node_id=14])S[node_id=13],(noD_5_6_3_3|G3_4[node_id=9;species=H4],(noD_5_6_3_3|G1_2[node_id=11;species=H2],noD_5_6_3_3|G0_1[node_id=10;species=H1])S[node_id=15])S[node_id=16])S[node_id=17])D[node_id=18];	0:8,1:6,2:4,3:9,4:2,5:3,6:7,7:5,8:1,9:6,10:9,11:8,12:3,13:2,14:4,15:7,16:5,17:1,18:1	
507	((noD_5_6_2_4|G0_0[node_id=9;species=H0],(noD_5_6_2_4|G10_7[node_id=3;species=H7],noD_5_6_2_4|G9_7[node_id=4;species=H7],noD_5_6_2_4|G11_7[node_id=5;species=H7])D[node_id=6])S[node_id=10],((noD_5_6_2_4|G5_4[node_id=0;species=H4],noD_5_6_2_4|G4_4[node_id=1;species=H4])D[node_id=2],(noD_5_6_2_4|G2_2[node_id=7;species=H2],noD_5_6_2_4|G1_1[node_id=8;species=H1])S[node_id=11])S[node_id=12])S[node_id=13];	0:6,1:6,2:6,3:4,4:4,5:4,6:4,7:8,8:9,9:3,10:2,11:7,12:5,13:1	
508	((noD_5_9_6_2|G0_0[node_id=7;species=H0],(noD_5_9_6_2|G10_7[node_id=0;species=H7],noD_5_9_6_2|G8_7[node_id=1;species=H7],noD_5_9_6_2|G7_7[node_id=2;species=H7],noD_5_9_6_2|G12_7[node_id=3;species=H7])D[node_id=4])S[node_id=9],(noD_5_9_6_2|G4_4[node_id=5;species=H4],(noD_5_9_6_2|G2_2[node_id=6;species=H2],noD_5_9_6_2|G1_1[node_id=8;species=H1])S[node_id=10])S[node_id=11])S[node_id=12];	0:4,1:4,2:4,3:4,4:4,5:6,6:8,7:3,8:9,9:2,10:7,11:5,12:1	
509	((noD_5_1_1_2|G0_0[node_id=12;species=H0],noD_5_1_1_2|G13_7[node_id=0;species=H7])S[node_id=13],((noD_5_1_1_2|G9_4[node_id=1;species=H4],(noD_5_1_1_2|G7_2[node_id=2;species=H2],noD_5_1_1_2|G6_1[node_id=3;species=H1])S[node_id=4])S[node_id=5],(noD_5_1_1_2|G4_4[node_id=8;species=H4],(noD_5_1_1_2|G2_2[node_id=7;species=H2],noD_5_1_1_2|G1_1[node_id=6;species=H1])S[node_id=9])S[node_id=10])D[node_id=11])S[node_id=14];	0:4,1:6,2:8,3:9,4:7,5:5,6:9,7:8,8:6,9:7,10:5,11:5,12:3,13:2,14:1	
510	((noD_5_6_2_1|G0_0[node_id=11;species=H0],X[node_id=13])S[node_id=12],((noD_5_6_2_1|G4_4[node_id=1;species=H4],(noD_5_6_2_1|G2_2[node_id=2;species=H2],noD_5_6_2_1|G1_1[node_id=0;species=H1])S[node_id=3])S[node_id=4],(noD_5_6_2_1|G9_4[node_id=7;species=H4],(noD_5_6_2_1|G7_2[node_id=6;species=H2],noD_5_6_2_1|G6_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=14];	0:9,1:6,2:8,3:7,4:5,5:9,6:8,7:6,8:7,9:5,10:5,11:3,12:2,13:4,14:1	
511	((noD_5_2_9_1|G0_0[node_id=0;species=H0],noD_5_2_9_1|G13_7[node_id=12;species=H7])S[node_id=13],((noD_5_2_9_1|G4_4[node_id=1;species=H4],(noD_5_2_9_1|G2_2[node_id=2;species=H2],noD_5_2_9_1|G1_1[node_id=3;species=H1])S[node_id=4])S[node_id=5],(noD_5_2_9_1|G9_4[node_id=7;species=H4],(noD_5_2_9_1|G7_2[node_id=6;species=H2],noD_5_2_9_1|G6_1[node_id=8;species=H1])S[node_id=9])S[node_id=10])D[node_id=11])S[node_id=14];	0:3,1:6,2:8,3:9,4:7,5:5,6:8,7:6,8:9,9:7,10:5,11:5,12:4,13:2,14:1	
512	((noD_5_7_6_3|G0_0[node_id=14;species=H0],noD_5_7_6_3|G13_7[node_id=13;species=H7])S[node_id=15],((noD_5_7_6_3|G4_4[node_id=3;species=H4],((noD_5_7_6_3|G1_1[node_id=0;species=H1],noD_5_7_6_3|G2_1[node_id=1;species=H1])D[node_id=2],X[node_id=5])S[node_id=4])S[node_id=6],(noD_5_7_6_3|G9_4[node_id=8;species=H4],(noD_5_7_6_3|G7_2[node_id=7;species=H2],noD_5_7_6_3|G6_1[node_id=9;species=H1])S[node_id=10])S[node_id=11])D[node_id=12])S[node_id=16];	0:9,1:9,2:9,3:6,4:7,5:8,6:5,7:8,8:6,9:9,10:7,11:5,12:5,13:4,14:3,15:2,16:1	
513	((noD_5_2_6_4|G0_0[node_id=11;species=H0],noD_5_2_6_4|G13_7[node_id=12;species=H7])S[node_id=13],((noD_5_2_6_4|G4_4[node_id=2;species=H4],(noD_5_2_6_4|G2_2[node_id=1;species=H2],noD_5_2_6_4|G1_1[node_id=0;species=H1])S[node_id=3])S[node_id=4],(noD_5_2_6_4|G9_4[node_id=5;species=H4],(noD_5_2_6_4|G7_2[node_id=7;species=H2],noD_5_2_6_4|G6_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=14];	0:9,1:8,2:6,3:7,4:5,5:6,6:9,7:8,8:7,9:5,10:5,11:3,12:4,13:2,14:1	
514	((noD_5_3_8_3|G0_0[node_id=13;species=H0],noD_5_3_8_3|G13_7[node_id=14;species=H7])S[node_id=15],((noD_5_3_8_3|G9_4[node_id=3;species=H4],((noD_5_3_8_3|G6_2[node_id=0;species=H2],noD_5_3_8_3|G7_2[node_id=1;species=H2])D[node_id=2],X[node_id=5])S[node_id=4])S[node_id=6],(noD_5_3_8_3|G4_4[node_id=9;species=H4],(noD_5_3_8_3|G2_2[node_id=8;species=H2],noD_5_3_8_3|G1_1[node_id=7;species=H1])S[node_id=10])S[node_id=11])D[node_id=12])S[node_id=16];	0:8,1:8,2:8,3:6,4:7,5:9,6:5,7:9,8:8,9:6,10:7,11:5,12:5,13:3,14:4,15:2,16:1	
515	(((noD_5_8_2_4|G12_7[node_id=15;species=H7],noD_5_8_2_4|G11_7[node_id=16;species=H7])D[node_id=17],X[node_id=19])S[node_id=18],(((noD_5_8_2_4|G6_2[node_id=1;species=H2],noD_5_8_2_4|G5_1[node_id=0;species=H1])S[node_id=2],X[node_id=14])S[node_id=13],((noD_5_8_2_4|G8_4[node_id=3;species=H4],X[node_id=11])S[node_id=10],(noD_5_8_2_4|G3_4[node_id=6;species=H4],(noD_5_8_2_4|G1_2[node_id=4;species=H2],noD_5_8_2_4|G0_1[node_id=5;species=H1])S[node_id=7])S[node_id=8])D[node_id=9])D[node_id=12])S[node_id=20];	0:9,1:8,2:7,3:6,4:8,5:9,6:6,7:7,8:5,9:5,10:5,11:7,12:5,13:5,14:6,15:4,16:4,17:4,18:2,19:3,20:1	
516	((noD_5_10_1_4|G0_0[node_id=6;species=H0],(noD_5_10_1_4|G11_7[node_id=0;species=H7],noD_5_10_1_4|G13_7[node_id=1;species=H7],noD_5_10_1_4|G10_7[node_id=2;species=H7],noD_5_10_1_4|G9_7[node_id=3;species=H7])D[node_id=4])S[node_id=11],(noD_5_10_1_4|G6_4[node_id=10;species=H4],((noD_5_10_1_4|G3_2[node_id=7;species=H2],noD_5_10_1_4|G2_2[node_id=8;species=H2])D[node_id=9],noD_5_10_1_4|G1_1[node_id=5;species=H1])S[node_id=12])S[node_id=13])S[node_id=14];	0:4,1:4,2:4,3:4,4:4,5:9,6:3,7:8,8:8,9:8,10:6,11:2,12:7,13:5,14:1	
517	(((noD_5_2_6_0|G7_0[node_id=11;species=H0],noD_5_2_6_0|G0_0[node_id=12;species=H0])D[node_id=13],noD_5_2_6_0|G15_7[node_id=14;species=H7])S[node_id=15],((noD_5_2_6_0|G4_4[node_id=1;species=H4],(noD_5_2_6_0|G2_2[node_id=2;species=H2],noD_5_2_6_0|G1_1[node_id=0;species=H1])S[node_id=3])S[node_id=4],(noD_5_2_6_0|G11_4[node_id=6;species=H4],(noD_5_2_6_0|G9_2[node_id=5;species=H2],noD_5_2_6_0|G8_1[node_id=7;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=16];	0:9,1:6,2:8,3:7,4:5,5:8,6:6,7:9,8:7,9:5,10:5,11:3,12:3,13:3,14:4,15:2,16:1	
518	(((noD_5_7_2_0|G1_0[node_id=12;species=H0],noD_5_7_2_0|G0_0[node_id=13;species=H0])D[node_id=14],noD_5_7_2_0|G15_7[node_id=0;species=H7])S[node_id=15],((noD_5_7_2_0|G6_4[node_id=3;species=H4],(noD_5_7_2_0|G4_2[node_id=2;species=H2],noD_5_7_2_0|G3_1[node_id=1;species=H1])S[node_id=4])S[node_id=5],(noD_5_7_2_0|G11_4[node_id=6;species=H4],(noD_5_7_2_0|G9_2[node_id=8;species=H2],noD_5_7_2_0|G8_1[node_id=7;species=H1])S[node_id=9])S[node_id=10])D[node_id=11])S[node_id=16];	0:4,1:9,2:8,3:6,4:7,5:5,6:6,7:9,8:8,9:7,10:5,11:5,12:3,13:3,14:3,15:2,16:1	
519	(((noD_5_9_4_0|G0_0[node_id=4;species=H0],(noD_5_9_4_0|G10_7[node_id=0;species=H7],noD_5_9_4_0|G7_7[node_id=1;species=H7],noD_5_9_4_0|G8_7[node_id=2;species=H7])D[node_id=3])S[node_id=5],((noD_5_9_4_0|G12_7[node_id=6;species=H7],noD_5_9_4_0|G11_7[node_id=7;species=H7])D[node_id=8],X[node_id=11])S[node_id=10])D[node_id=9],((noD_5_9_4_0|G2_2[node_id=13;species=H2],noD_5_9_4_0|G1_1[node_id=12;species=H1])S[node_id=14],X[node_id=16])S[node_id=15])S[node_id=17];	0:4,1:4,2:4,3:4,4:3,5:2,6:4,7:4,8:4,9:2,10:2,11:3,12:9,13:8,14:7,15:5,16:6,17:1	
520	((noD_5_9_10_2|G0_0[node_id=14;species=H0],(noD_5_9_10_2|G13_7[node_id=11;species=H7],noD_5_9_10_2|G14_7[node_id=12;species=H7])D[node_id=13])S[node_id=15],((noD_5_9_10_2|G4_4[node_id=1;species=H4],(noD_5_9_10_2|G2_2[node_id=0;species=H2],noD_5_9_10_2|G1_1[node_id=2;species=H1])S[node_id=3])S[node_id=4],(noD_5_9_10_2|G9_4[node_id=5;species=H4],(noD_5_9_10_2|G7_2[node_id=6;species=H2],noD_5_9_10_2|G6_1[node_id=7;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=16];	0:8,1:6,2:9,3:7,4:5,5:6,6:8,7:9,8:7,9:5,10:5,11:4,12:4,13:4,14:3,15:2,16:1	
521	((((noD_5_6_0_4|G7_7[node_id=0;species=H7],noD_5_6_5_3|G4_7[node_id=1;species=H7])D[node_id=2],X[node_id=16])S[node_id=15],X[node_id=18])S[node_id=17],(((noD_5_6_5_3|G1_7[node_id=6;species=H7],noD_5_6_5_3|G2_7[node_id=7;species=H7])D[node_id=8],X[node_id=10])S[node_id=9],(noD_5_6_0_4|G4_4[node_id=5;species=H4],(noD_5_6_0_4|G2_2[node_id=4;species=H2],noD_5_6_0_4|G1_1[node_id=3;species=H1])S[node_id=11])S[node_id=12])S[node_id=13])D[node_id=14];	0:4,1:4,2:4,3:9,4:8,5:6,6:4,7:4,8:4,9:2,10:3,11:7,12:5,13:1,14:1,15:2,16:3,17:1,18:5	
522	(((noD_5_2_6_3|G0_0[node_id=0;species=H0],noD_5_2_2_2|G0_0[node_id=1;species=H0])D[node_id=2],X[node_id=11])S[node_id=10],(((noD_5_2_6_3|G2_2[node_id=6;species=H2],noD_5_2_2_2|G2_2[node_id=7;species=H2])D[node_id=8],(noD_5_2_2_2|G1_1[node_id=3;species=H1],noD_5_2_6_3|G1_1[node_id=4;species=H1])D[node_id=5])S[node_id=9],X[node_id=13])S[node_id=12])S[node_id=14];	0:3,1:3,2:3,3:9,4:9,5:9,6:8,7:8,8:8,9:7,10:2,11:4,12:5,13:6,14:1	
523	(((noD_5_4_2_1|G7_0[node_id=11;species=H0],noD_5_4_2_1|G0_0[node_id=12;species=H0])D[node_id=13],X[node_id=15])S[node_id=14],((noD_5_4_2_1|G11_4[node_id=2;species=H4],(noD_5_4_2_1|G9_2[node_id=0;species=H2],noD_5_4_2_1|G8_1[node_id=1;species=H1])S[node_id=3])S[node_id=4],(noD_5_4_2_1|G4_4[node_id=7;species=H4],(noD_5_4_2_1|G2_2[node_id=6;species=H2],noD_5_4_2_1|G1_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=16];	0:8,1:9,2:6,3:7,4:5,5:9,6:8,7:6,8:7,9:5,10:5,11:3,12:3,13:3,14:2,15:4,16:1	
524	(((noD_5_3_5_2|G7_0[node_id=11;species=H0],noD_5_3_5_2|G0_0[node_id=12;species=H0])D[node_id=13],X[node_id=15])S[node_id=14],((noD_5_3_5_2|G11_4[node_id=2;species=H4],(noD_5_3_5_2|G9_2[node_id=0;species=H2],noD_5_3_5_2|G8_1[node_id=1;species=H1])S[node_id=3])S[node_id=4],(noD_5_3_5_2|G4_4[node_id=7;species=H4],(noD_5_3_5_2|G2_2[node_id=5;species=H2],noD_5_3_5_2|G1_1[node_id=6;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=16];	0:8,1:9,2:6,3:7,4:5,5:8,6:9,7:6,8:7,9:5,10:5,11:3,12:3,13:3,14:2,15:4,16:1	
525	(((noD_5_6_9_2|G0_0[node_id=0;species=H0],noD_5_6_9_2|G1_0[node_id=1;species=H0])D[node_id=2],X[node_id=17])S[node_id=16],((noD_5_6_9_2|G6_4[node_id=3;species=H4],(noD_5_6_9_2|G4_2[node_id=5;species=H2],noD_5_6_9_2|G3_1[node_id=4;species=H1])S[node_id=6])S[node_id=7],((noD_5_6_9_2|G12_4[node_id=10;species=H4],noD_5_6_9_2|G11_4[node_id=11;species=H4])D[node_id=12],(noD_5_6_9_2|G9_2[node_id=8;species=H2],noD_5_6_9_2|G8_1[node_id=9;species=H1])S[node_id=13])S[node_id=14])D[node_id=15])S[node_id=18];	0:3,1:3,2:3,3:6,4:9,5:8,6:7,7:5,8:8,9:9,10:6,11:6,12:6,13:7,14:5,15:5,16:2,17:4,18:1	
526	((noD_5_8_4_3|G0_0[node_id=14;species=H0],noD_5_8_4_3|G15_7[node_id=13;species=H7])S[node_id=15],((noD_5_8_4_3|G4_4[node_id=2;species=H4],(noD_5_8_4_3|G2_2[node_id=0;species=H2],noD_5_8_4_3|G1_1[node_id=1;species=H1])S[node_id=3])S[node_id=4],(noD_5_8_4_3|G11_4[node_id=9;species=H4],(noD_5_8_4_3|G9_2[node_id=5;species=H2],(noD_5_8_4_3|G7_1[node_id=6;species=H1],noD_5_8_4_3|G6_1[node_id=7;species=H1])D[node_id=8])S[node_id=10])S[node_id=11])D[node_id=12])S[node_id=16];	0:8,1:9,2:6,3:7,4:5,5:8,6:9,7:9,8:9,9:6,10:7,11:5,12:5,13:4,14:3,15:2,16:1	
527	((noD_5_8_3_2|G0_0[node_id=14;species=H0],noD_5_8_3_2|G15_7[node_id=13;species=H7])S[node_id=15],(((noD_5_8_3_2|G4_4[node_id=0;species=H4],noD_5_8_3_2|G5_4[node_id=1;species=H4])D[node_id=2],(noD_5_8_3_2|G2_2[node_id=4;species=H2],noD_5_8_3_2|G1_1[node_id=3;species=H1])S[node_id=5])S[node_id=6],(noD_5_8_3_2|G11_4[node_id=7;species=H4],(noD_5_8_3_2|G9_2[node_id=9;species=H2],noD_5_8_3_2|G8_1[node_id=8;species=H1])S[node_id=10])S[node_id=11])D[node_id=12])S[node_id=16];	0:6,1:6,2:6,3:9,4:8,5:7,6:5,7:6,8:9,9:8,10:7,11:5,12:5,13:4,14:3,15:2,16:1	
528	((noD_5_9_2_4|G0_0[node_id=6;species=H0],(noD_5_9_2_4|G7_7[node_id=0;species=H7],noD_5_9_2_4|G14_7[node_id=1;species=H7],noD_5_9_2_4|G8_7[node_id=2;species=H7],noD_5_9_2_4|G11_7[node_id=3;species=H7],noD_5_9_2_4|G9_7[node_id=4;species=H7])D[node_id=5])S[node_id=10],(noD_5_9_2_4|G4_4[node_id=8;species=H4],(noD_5_9_2_4|G2_2[node_id=9;species=H2],noD_5_9_2_4|G1_1[node_id=7;species=H1])S[node_id=11])S[node_id=12])S[node_id=13];	0:4,1:4,2:4,3:4,4:4,5:4,6:3,7:9,8:6,9:8,10:2,11:7,12:5,13:1	
529	((noD_5_8_3_3|G0_0[node_id=0;species=H0],(noD_5_8_3_3|G13_7[node_id=12;species=H7],noD_5_8_3_3|G14_7[node_id=13;species=H7])D[node_id=14])S[node_id=15],((noD_5_8_3_3|G4_4[node_id=3;species=H4],(noD_5_8_3_3|G2_2[node_id=2;species=H2],noD_5_8_3_3|G1_1[node_id=1;species=H1])S[node_id=4])S[node_id=5],(noD_5_8_3_3|G9_4[node_id=7;species=H4],(noD_5_8_3_3|G7_2[node_id=8;species=H2],noD_5_8_3_3|G6_1[node_id=6;species=H1])S[node_id=9])S[node_id=10])D[node_id=11])S[node_id=16];	0:3,1:9,2:8,3:6,4:7,5:5,6:9,7:6,8:8,9:7,10:5,11:5,12:4,13:4,14:4,15:2,16:1	
530	(((noD_5_10_10_0|G6_0[node_id=11;species=H0],noD_5_10_10_0|G5_0[node_id=12;species=H0],noD_5_10_10_0|G8_0[node_id=13;species=H0])D[node_id=14],X[node_id=16])S[node_id=15],((noD_5_10_10_0|G3_4[node_id=0;species=H4],(noD_5_10_10_0|G1_2[node_id=2;species=H2],noD_5_10_10_0|G0_1[node_id=1;species=H1])S[node_id=3])S[node_id=4],(noD_5_10_10_0|G13_4[node_id=7;species=H4],(noD_5_10_10_0|G11_2[node_id=6;species=H2],noD_5_10_10_0|G10_1[node_id=5;species=H1])S[node_id=8])S[node_id=9])D[node_id=10])S[node_id=17];	0:6,1:9,2:8,3:7,4:5,5:9,6:8,7:6,8:7,9:5,10:5,11:3,12:3,13:3,14:3,15:2,16:4,17:1	
531	(((noD_5_10_0_1|G1_0[node_id=4;species=H0],(noD_5_10_0_1|G0_0[node_id=5;species=H0],noD_5_10_0_1|G3_0[node_id=6;species=H0])D[node_id=7])D[node_id=8],X[node_id=13])S[node_id=12],(((noD_5_10_0_1|G11_2[node_id=9;species=H2],noD_5_10_0_1|G8_2[node_id=10;species=H2])D[node_id=11],(noD_5_10_0_1|G10_1[node_id=0;species=H1],noD_5_10_0_1|G5_1[node_id=1;species=H1],noD_5_10_0_1|G6_1[node_id=2;species=H1])D[node_id=3])S[node_id=14],X[node_id=16])S[node_id=15])S[node_id=17];	0:9,1:9,2:9,3:9,4:3,5:3,6:3,7:3,8:3,9:8,10:8,11:8,12:2,13:4,14:7,15:5,16:6,17:1	
532	(((noD_5_10_6_0|G1_0[node_id=0;species=H0],noD_5_10_6_0|G0_0[node_id=1;species=H0])D[node_id=2],noD_5_10_6_0|G17_7[node_id=16;species=H7])S[node_id=17],((noD_5_10_6_0|G13_4[node_id=5;species=H4],(noD_5_10_6_0|G11_2[node_id=4;species=H2],noD_5_10_6_0|G10_1[node_id=3;species=H1])S[node_id=6])S[node_id=7],(noD_5_10_6_0|G8_4[node_id=12;species=H4],(noD_5_10_6_0|G6_2[node_id=11;species=H2],(noD_5_10_6_0|G4_1[node_id=8;species=H1],noD_5_10_6_0|G3_1[node_id=9;species=H1])D[node_id=10])S[node_id=13])S[node_id=14])D[node_id=15])S[node_id=18];	0:3,1:3,2:3,3:9,4:8,5:6,6:7,7:5,8:9,9:9,10:9,11:8,12:6,13:7,14:5,15:5,16:4,17:2,18:1	
533	(((noD_5_10_0_0|G4_4[node_id=0;species=H4],(noD_5_10_0_0|G2_2[node_id=1;species=H2],noD_5_10_0_0|G1_1[node_id=2;species=H1])S[node_id=3])S[node_id=4],X[node_id=19])S[node_id=18],((noD_5_10_0_0|G0_0[node_id=11;species=H0],(noD_5_10_0_0|G8_7[node_id=5;species=H7],noD_5_10_0_0|G7_7[node_id=6;species=H7],noD_5_10_0_0|G9_7[node_id=7;species=H7])D[node_id=8])S[node_id=13],(noD_5_9_8_4|G3_4[node_id=10;species=H4],(noD_5_9_8_4|G1_2[node_id=12;species=H2],noD_5_9_8_4|G0_1[node_id=9;species=H1])S[node_id=14])S[node_id=15])S[node_id=16])D[node_id=17];	0:6,1:8,2:9,3:7,4:5,5:4,6:4,7:4,8:4,9:9,10:6,11:3,12:8,13:2,14:7,15:5,16:1,17:1,18:1,19:2	
534	((noD_5_5_0_0|G0_0[node_id=12;species=H0],noD_5_5_0_0|G17_7[node_id=13;species=H7])S[node_id=14],((noD_5_5_0_0|G13_4[node_id=0;species=H4],noD_5_5_0_0|G4_4[node_id=1;species=H4])D[node_id=2],((noD_5_5_0_0|G7_2[node_id=3;species=H2],noD_5_5_0_0|G10_2[node_id=4;species=H2],noD_5_5_0_0|G2_2[node_id=5;species=H2])D[node_id=6],(noD_5_5_0_0|G1_1[node_id=7;species=H1],noD_5_5_0_0|G9_1[node_id=8;species=H1],noD_5_5_0_0|G6_1[node_id=9;species=H1])D[node_id=10])S[node_id=11])S[node_id=15])S[node_id=16];	0:6,1:6,2:6,3:8,4:8,5:8,6:8,7:9,8:9,9:9,10:9,11:7,12:3,13:4,14:2,15:5,16:1	
535	((noD_5_10_3_1|G0_0[node_id=16;species=H0],(noD_5_10_3_1|G15_7[node_id=13;species=H7],noD_5_10_3_1|G16_7[node_id=14;species=H7])D[node_id=15])S[node_id=17],((noD_5_10_3_1|G4_4[node_id=0;species=H4],(noD_5_10_3_1|G2_2[node_id=2;species=H2],noD_5_10_3_1|G1_1[node_id=1;species=H1])S[node_id=3])S[node_id=4],((noD_5_10_3_1|G9_4[node_id=5;species=H4],noD_5_10_3_1|G10_4[node_id=6;species=H4])D[node_id=7],(noD_5_10_3_1|G7_2[node_id=8;species=H2],noD_5_10_3_1|G6_1[node_id=9;species=H1])S[node_id=10])S[node_id=11])D[node_id=12])S[node_id=18];	0:6,1:9,2:8,3:7,4:5,5:6,6:6,7:6,8:8,9:9,10:7,11:5,12:5,13:4,14:4,15:4,16:3,17:2,18:1	
